,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
RETURN_ON_ASSET,123.0,6.31951818406504,7.070042156252595,-6.88861,1.62015,4.5511,8.46605,28.27132832,1.2186655227031402,1.6010629292454537
ESG_SCORE,123.0,3.971463414634147,1.4505808237080609,1.12,3.0549999999999997,4.21,5.125,6.29,-0.31399257940103753,-0.978926618868432
log_assets,123.0,9.701988935680442,2.1726732011851597,5.503964748645488,8.107738206449937,9.580109215426072,11.482238900030872,15.24965583277212,0.37597955194407723,-0.2300516246777815
RD_transformed,123.0,1.0689508933650607,0.5277623988784405,0.0002999550089979,0.8278310049629508,1.1001777293928154,1.2808085458127563,2.97000412498126,1.2419568962061307,4.282077610573309
has_RD,123.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,
small_firm,123.0,0.5528455284552846,0.4992330516676378,0.0,0.0,1.0,1.0,1.0,,
